iter	Passed	Remaining
594	11525	27214
595	11545	27196
596	11564	27177
597	11582	27155
598	11599	27130
599	11617	27106
600	11632	27078
601	11649	27052
602	11670	27037
603	11688	27016
604	11706	26993
605	11726	26975
606	11744	26951
607	11761	26928
608	11780	26907
609	11796	26881
610	11816	26862
611	11835	26843
612	11854	26821
613	11872	26800
614	11890	26777
615	11907	26753
616	11927	26734
617	11943	26709
618	11963	26690
619	11980	26666
620	11999	26645
621	12017	26623
622	12037	26605
623	12056	26586
624	12074	26563
625	12092	26542
626	12110	26520
627	12128	26496
628	12144	26470
629	12162	26449
630	12179	26423
631	12194	26395
632	12213	26375
633	12231	26354
634	12249	26331
635	12267	26308
636	12284	26286
637	12302	26263
638	12320	26242
639	12338	26220
640	12356	26197
641	12375	26178
642	12391	26151
643	12408	26126
644	12424	26100
645	12441	26076
646	12460	26056
647	12477	26034
648	12495	26011
649	12514	25990
650	12530	25964
651	12547	25942
652	12565	25920
653	12583	25898
654	12602	25878
655	12619	25854
656	12635	25828
657	12653	25807
658	12670	25783
659	12688	25762
660	12705	25738
661	12724	25718
662	12742	25696
663	12761	25675
664	12780	25657
665	12798	25634
666	12816	25612
667	12832	25588
668	12849	25563
669	12869	25547
670	12887	25526
671	12906	25505
672	12925	25485
673	12941	25460
674	12958	25437
675	12976	25416
676	12994	25393
677	13013	25374
678	13032	25354
679	13048	25330
680	13066	25308
681	13084	25286
682	13102	25264
683	13118	25239
684	13137	25221
685	13155	25198
686	13173	25177
687	13191	25156
688	13210	25135
689	13227	25112
690	13243	25088
691	13261	25067
692	13278	25044
693	13296	25022
694	13315	25002
695	13333	24981
696	13351	24960
697	13369	24939
698	13386	24915
699	13405	24895
700	13423	24875
701	13446	24861
702	13464	24842
703	13481	24817
704	13497	24794
705	13518	24778
706	13536	24755
707	13552	24732
708	13571	24712
709	13588	24689
710	13606	24668
711	13624	24646
712	13642	24625
713	13662	24607
714	13681	24588
715	13700	24569
716	13720	24550
717	13739	24532
718	13757	24511
719	13777	24492
720	13796	24474
721	13815	24453
722	13833	24432
723	13851	24412
724	13871	24394
725	13890	24375
726	13907	24352
727	13924	24328
728	13944	24312
729	13963	24292
730	13983	24274
731	14001	24253
732	14019	24232
733	14038	24213
734	14056	24192
735	14073	24169
736	14093	24151
737	14111	24131
738	14129	24110
739	14147	24089
740	14166	24069
741	14181	24043
742	14201	24025
743	14220	24006
744	14239	23986
745	14258	23968
746	14275	23945
747	14293	23924
748	14313	23907
749	14332	23887
750	14353	23870
751	14369	23846
752	14387	23826
753	14404	23804
754	14422	23783
755	14441	23763
756	14459	23741
757	14476	23719
758	14494	23699
759	14511	23677
760	14528	23654
761	14546	23633
762	14564	23612
763	14583	23593
764	14601	23571
765	14620	23552
766	14636	23529
767	14654	23507
768	14671	23485
769	14689	23464
770	14710	23449
771	14730	23430
772	14749	23412
773	14768	23392
774	14787	23374
775	14805	23352
776	14822	23331
777	14841	23311
778	14861	23293
779	14881	23276
780	14901	23259
781	14921	23240
782	14939	23220
783	14955	23196
784	14974	23177
785	14994	23159
786	15012	23138
787	15031	23119
788	15050	23100
789	15069	23081
790	15087	23060
791	15105	23039
792	15125	23022
793	15143	23001
794	15159	22978
795	15178	22958
796	15202	22947
797	15220	22926
798	15237	22904
799	15256	22884
800	15274	22863
801	15292	22843
802	15314	22828
803	15331	22807
804	15350	22787
805	15369	22768
806	15387	22748
807	15404	22725
808	15423	22705
809	15439	22683
810	15458	22664
811	15477	22644
812	15494	22621
813	15513	22602
814	15530	22581
815	15548	22560
816	15569	22544
817	15586	22522
818	15605	22503
819	15623	22482
820	15643	22465
821	15662	22446
822	15682	22427
823	15701	22408
